zipCode,zone,trange,zonetitle,lastSpringFrost,firstFallFrost
50001,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50002,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50003,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50005,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50006,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50007,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50008,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50009,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50010,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50011,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50012,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50013,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50014,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50020,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50021,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50022,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50023,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50025,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50026,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50027,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50028,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50029,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50031,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50032,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50033,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50034,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50035,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50036,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50037,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50038,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50039,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50040,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50041,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50042,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50043,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50044,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50046,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50047,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50048,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50049,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50050,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50051,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50052,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50054,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50055,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50056,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50057,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50058,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50059,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50060,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50061,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50062,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50063,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50064,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50065,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50066,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50067,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50068,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50069,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50070,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50071,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50072,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50073,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50074,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50075,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50076,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50078,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50099,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50101,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50102,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50103,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50104,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50105,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50106,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50107,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50108,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50109,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50110,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50111,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50112,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50115,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50116,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50117,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50118,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50119,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50120,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50122,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50123,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50124,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50125,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50126,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50127,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50128,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50129,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50130,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50131,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50132,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50133,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50134,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50135,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50136,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50137,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50138,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50139,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50140,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50141,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50142,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
